Record_Index,Provider_First_Name,Provider_Last_Name,Original_Practice_Name,Matching_Status,Matched_Practice_Name,Similarity_Score,Matched_NPI,Matched_Column,Associated_Provider,City,State,NPI-1_From_API,NPI-2_From_API
1,SRILAKSHMI,SETTIPALLI,MARICOPA COUNTY SPECIAL HEALTH CARE DISTRICT,Matched (Fuzzy),NORTHERN APACHE COUNTY SPECIAL HEALTH CARE DISTRICT,78,,medical group,,,,1023305786.0,1003233180.0
2,SONI,DHANIREDDY,ONEILL CLARK NARVARTE & VICKS A PROFESSIONAL CORPORATION,Matched (Fuzzy),"AGING GRACE HOUSE CALLS, PROFESSIONAL CORPORATION",71,,medical group,,,,1023214491.0,1962501940.0
3,YUZANA,ZAW,"AKDHC, LLC",Matched (Exact),"AKDHC, LLC",100,,medical group,,,,1013313451.0,1013198837.0
4,VIJAY,GOLI,LAS VEGAS UROLOGY LLP,Not Matched,,0,,,,,,1043305972.0,1629054994.0
5,MARCO,DURAN,CAREMORE HEALTH PLAN OF ARIZONA INC,Matched (Fuzzy),"Central Health Plan of California, Inc.",78,1861527301.0,CompanyName,,Diamond Bar,CA,1487935631.0,1992178982.0
6,ERIC,CHEN,,No Practice Name,,0,,,,,,1174227896.0,
7,CHRISTOPHER,STELTON,SK RETINA LLC,Matched (Fuzzy),"MSK Medical, LLC",71,1659573764.0,CompanyName,,Denver,CO,1013234624.0,1194170779.0
8,ROBERT,ORR,PHOENIX MEDICAL GROUP PC,Matched (Fuzzy),"PHOENIX MEDICAL GROUP, PC",100,,medical group,,,,1700841749.0,1063661023.0
9,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
10,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
11,REBECCA,MATRO,"SCRIPPS CLINIC MEDICAL GROUP, INC",Matched (Fuzzy),Pros Medical Clinic Inc,76,1750491908.0,CompanyName,,Montclair,CA,1043484405.0,1205959574.0
12,ROBERT,ORR,PHOENIX MEDICAL GROUP PC,Matched (Fuzzy),"PHOENIX MEDICAL GROUP, PC",100,,medical group,,,,1700841749.0,1063661023.0
13,SHAHID,WAHID,CAREMORE HEALTH PLAN OF NEVADA,Not Matched,,0,,,,,,1053412981.0,1770950255.0
14,SWETA,SENGUPTA,"DUKE HEALTH INTEGRATED PRACTICE, INC.",Matched (Exact),"DUKE HEALTH INTEGRATED PRACTICE, INC.",100,,medical group,,,,1063830578.0,1659085777.0
15,MARIO,DI PASCUALE,EYE & OCULAR SURFACE CENTER OF TEXAS LLC,Not Matched,,0,,,,,,1003075094.0,1285055905.0
16,CHRISTINE,FUNKE,SOUTHWESTERN EYE CENTER LTD,Matched (Fuzzy),Southwest Health Center,80,1750305629.0,Primary Hospital Affiliation,Lucas,Platteville,WI,1063703734.0,1932140894.0
17,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
18,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
19,HENRY,IGID,ALLISON CURTIS KINGSLEY MEOZ MICHAEL & SANCHEZ PC,Not Matched,,0,,,,,,1003182106.0,1598770471.0
20,ABRAHAM,SAYEGH,,No Practice Name,,0,,,,,,1033140744.0,
21,RENE,PULIDO,EMED URGENT AND PRIMARY CARE INC,Matched (Fuzzy),GW PRIMARY AND URGENT CARE LLC,89,,medical group,,,,1033357553.0,1912219064.0
22,ADOLFO,ANCHONDO,EL PASO PULMONARY ASSOCIATION,Matched (Fuzzy),"PULMONARY ASSOCIATES, PA",88,,medical group,,,,1063410777.0,1568464550.0
23,PARUNYOU,JULAYANONT,SJHMC PHYSICIAN SERVICES,Matched (Fuzzy),HR PHYSICIAN SERVICES,80,,medical group,,,,1043626401.0,1326098005.0
24,JASON,LONG,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Not Matched,,0,,,,,,1154540714.0,1801054762.0
25,BASEL,SHOUA,ARIZONA ONCOLOGY ASSOCIATES PC,Matched (Fuzzy),"BRANDON GYNECOLOGY ASSOCIATES, P.A.",73,,medical group,,,,1003260662.0,1417345919.0
26,MURALI,MURTY,,No Practice Name,,0,,,,,,1013184423.0,
27,ANGELO,KANELLOS,UROLOGY NEVADA LTD,Matched (Exact),UROLOGY NEVADA LTD,100,,medical group,,,,1013008135.0,1316162795.0
28,ALBERTO,DUBOY,FLORIDA PHYSICIAN SPECIALISTS LLC,Matched (Fuzzy),FLORIDA PAIN SPECIALISTS,87,,medical group,,,,1003115684.0,1316282478.0
29,MICHELLE,LIN,BACCHUS WAKEFIELD KAHAN PC,Matched (Exact),BACCHUS WAKEFIELD KAHAN PC,100,,medical group,,,,1568738383.0,1134628480.0
30,TIMOTHY,DO,"JACKSONVILLE MULTISPECIALTY SERVICES, LLC",Matched (Fuzzy),Curson Multi-Specialty,70,1871594648.0,CompanyName,,Los Angeles,CA,1962161281.0,1427298363.0
31,,THE HOSPITALS OF PROVIDENCE HORIZON CITY,"HCN EP HORIZON CITY, LLC",Matched (Fuzzy),HORIZON HEADACHE CENTER PLLC,71,,medical group,,,,,1336661313.0
